taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
143	0	3	0.0	0.5894	-2.6991	-2.451	-7.2264	0.4932	1.971	0.0539	0.946	Laggard-exclusive (low-count)	False	20000	Pseudomonas oleovorans
144	0	1	0.0	0.1965	-1.5096	-1.3552	-6.359	2.3054	2.1599	0.2371	0.763	Laggard-exclusive (low-count)	False	20000	Pseudomonas oryzae
145	0	19	0.0	3.7328	-5.197	-4.9118	-9.7322	-2.4041	1.8587	0.0	1.0	Laggard-enriched	True	20000	Pseudomonas oryzihabitans
146	0	1	0.0	0.1965	-1.5274	-1.3424	-6.3581	2.3287	2.1807	0.2366	0.7634	Laggard-exclusive (low-count)	False	20000	Pseudomonas pharmacofabricae
147	0	1	0.0	0.1965	-1.5327	-1.3679	-6.4146	2.2943	2.1645	0.2341	0.7659	Laggard-exclusive (low-count)	False	20000	Pseudomonas phenolilytica
148	0	1	0.0	0.1965	-1.4979	-1.3463	-6.218	2.3101	2.1402	0.2361	0.7639	Laggard-exclusive (low-count)	False	20000	Pseudomonas psychrophila
149	0	1	0.0	0.1965	-1.5219	-1.3451	-6.3525	2.2874	2.1573	0.2368	0.7632	Laggard-exclusive (low-count)	False	20000	Pseudomonas putida
150	1	0	0.1862	0.0	1.354	1.1773	-2.5286	6.2133	2.1879	0.7323	0.2676	Jumper-exclusive (low-count)	False	20000	Pseudomonas saponiphila
151	0	4	0.0	0.7859	-3.0593	-2.7904	-7.634	0.0357	1.9465	0.0267	0.9732	Laggard-enriched	False	20000	Pseudomonas savastanoi
152	0	2	0.0	0.3929	-2.2359	-2.0164	-6.9374	1.2272	2.0455	0.1127	0.8873	Laggard-exclusive (low-count)	False	20000	Pseudomonas schmalbachii
153	0	2	0.0	0.3929	-2.2312	-2.034	-6.8949	1.2289	2.0306	0.1139	0.8861	Laggard-exclusive (low-count)	False	20000	Pseudomonas seleniipraecipitans
154	0	2	0.0	0.3929	-2.2397	-2.0192	-6.9405	1.1407	2.0266	0.1115	0.8885	Laggard-exclusive (low-count)	False	20000	Pseudomonas syringae
155	0	1	0.0	0.1965	-1.5131	-1.358	-6.2931	2.3278	2.1471	0.2364	0.7637	Laggard-exclusive (low-count)	False	20000	Pseudomonas tarimensis
156	1	2	0.1862	0.3929	-0.789	-0.7556	-3.8448	1.9944	1.4679	0.2959	0.704	Laggard-leaning (uncertain)	False	20000	Pseudomonas tianjinensis
157	0	1	0.0	0.1965	-1.5144	-1.3358	-6.4638	2.3725	2.1887	0.2384	0.7617	Laggard-exclusive (low-count)	False	20000	Pseudomonas tolaasii
