ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map05017	map05017	21	0.333702820707186	0.948799088185448	0.600831600831601	0.857544224765869	0.785256585793307	4505	tags=33%, list=25%, signal=25%	XM_067113717.1/XM_067116297.1/XM_067101362.1/XM_067100675.1/XM_067098396.1/EL695619.1/XM_067113178.1
map04144	map04144	40	0.304052328183848	0.948591846270529	0.607684529828109	0.857544224765869	0.785256585793307	7468	tags=50%, list=41%, signal=29%	XM_067092841.1/XM_067081862.1/XM_067128238.1/XM_067081863.1/XM_067081623.1/XM_067092793.1/XM_067116496.1/XM_067109172.1/XM_067094346.1/XM_067109672.1/XM_067111191.1/XM_067098538.1/XM_067118833.1/XM_067092822.1/XM_067098539.1/XM_067081039.1/XM_067099922.1/XM_067108897.1/XM_067095311.1/XM_067109668.1
map04520	map04520	10	0.370373989173188	0.903308453650325	0.616949152542373	0.857544224765869	0.785256585793307	5774	tags=40%, list=32%, signal=27%	XM_067090976.1/XM_067090968.1/XM_067082077.1/XM_067081039.1
map04140	map04140	40	0.300348919550082	0.937037837608986	0.625884732052578	0.857544224765869	0.785256585793307	7754	tags=48%, list=43%, signal=27%	XM_067081342.1/XM_067116297.1/XM_067101362.1/XM_067134577.1/XM_067094786.1/XM_067108538.1/XM_067095929.1/XM_067113178.1/XM_067086629.1/JP354016.1/XM_067134581.1/XM_067126438.1/JP353036.1/XM_067103297.1/XM_067120824.1/XM_067129236.1/XM_067097716.1/XM_067108539.1/XM_067116106.1
map04148	map04148	19	0.33232609426202	0.930974047873252	0.627471383975026	0.857544224765869	0.785256585793307	6139	tags=37%, list=34%, signal=24%	XM_067134577.1/XM_067107746.1/XM_067120393.1/XM_067134581.1/XM_067126438.1/JP353036.1/XM_067107745.1
map04931	map04931	20	0.322856612228485	0.906687782009735	0.659352142110763	0.88523239204483	0.810610748385082	564	tags=15%, list=3%, signal=15%	XM_067093698.1/XM_067122690.1/XM_067116297.1
map05135	map05135	10	0.35572037406729	0.867569619961584	0.674576271186441	0.88523239204483	0.810610748385082	6684	tags=40%, list=37%, signal=25%	XM_067116297.1/XM_067107746.1/XM_067107745.1/XM_067129236.1
map04150	map04150	28	0.301007505941443	0.897833495752156	0.677551020408163	0.88523239204483	0.810610748385082	7879	tags=46%, list=44%, signal=26%	XM_067116297.1/XM_067110139.1/XM_067129115.1/XM_067094786.1/XM_067108538.1/XM_067095929.1/XM_067127548.1/XM_067117872.1/XM_067129236.1/XM_067129112.1/XM_067108539.1/XM_067116106.1/XM_067119542.1
map01240	map01240	40	0.292104109687606	0.911315425100876	0.678463094034378	0.88523239204483	0.810610748385082	1942	tags=20%, list=11%, signal=18%	XM_067130337.1/XM_067130336.1/XM_067124898.1/XM_067084488.1/XM_067092708.1/XM_067084487.1/XM_067125324.1/XM_067125325.1
map05231	map05231	18	0.316323187916469	0.8792960539774	0.683716075156576	0.88523239204483	0.810610748385082	3216	tags=22%, list=18%, signal=18%	XM_067116297.1/XM_067110139.1/XM_067108538.1/XM_067095929.1
map04145	map04145	21	0.309275177658157	0.879345298725947	0.693347193347193	0.888351091476091	0.813466553598132	7680	tags=48%, list=43%, signal=27%	XM_067116297.1/XM_067134577.1/XM_067134581.1/XM_067126438.1/JP353036.1/XM_067103297.1/XM_067120824.1/XM_067129236.1/XM_067124073.1/XM_067102977.1
map04014	map04014	20	0.3106882285191	0.872514949804279	0.705329153605016	0.892266017768187	0.817051466848062	6684	tags=45%, list=37%, signal=28%	XM_067116297.1/XM_067110139.1/XM_067115481.1/XM_067128466.1/XM_067110245.1/XM_067129872.1/XM_067120393.1/XM_067115483.1/XM_067129236.1
map04810	map04810	11	0.33468240087464	0.835482784088865	0.710911136107987	0.892266017768187	0.817051466848062	2580	tags=27%, list=14%, signal=23%	XM_067116297.1/XM_067110139.1/XM_067128466.1
map04910	map04910	27	0.290743033894786	0.863766054261245	0.7217125382263	0.894545454545455	0.819138755980861	3216	tags=22%, list=18%, signal=18%	XM_067093698.1/XM_067116297.1/XM_067110139.1/XM_067089424.1/XM_067108538.1/XM_067095929.1
map04530	map04530	13	-0.215298491381075	-0.831332233789469	0.727272727272727	0.894545454545455	0.819138755980861	2688	tags=38%, list=15%, signal=33%	XM_067097582.1/XM_067097581.1/XM_067090747.1/JP353568.1/XM_067108014.1
map04151	map04151	32	0.282931115433809	0.859457741000544	0.743641912512716	0.905623319198654	0.829282799779683	3216	tags=22%, list=18%, signal=18%	XM_067093698.1/XM_067116297.1/XM_067110139.1/XM_067129115.1/XM_067089424.1/XM_067108538.1/XM_067095929.1
map00062	map00062	10	0.320977940665978	0.782835986636394	0.775141242937853	0.934683810023616	0.855893604386195	8211	tags=50%, list=46%, signal=27%	XM_067102618.1/XM_067116293.1/XM_067083830.1/XM_067114798.1/XM_067094605.1
